id,type,domain,enabled,date_added,date_modified,comment
2,3,(\.|^)caliente\.mx$,1,1598451533,1606010034,
36,3,(\.|^)smartadserver\.com$,1,1602439130,1606010034,smartadserver.com
37,3,(\.|^)addoor\.net$,1,1602439161,1606010034,Addoor.net
38,0,d25xi40x97liuc.cloudfront.net,1,1614457499,1614728937,"Added from Query Log"
40,0,www.bitcoin.com,1,1614728104,1614728963,"Added from Query Log"
41,0,paperwallet.bitcoin.com,1,1614728249,1614728964,"Added from Query Log"
42,0,maps.bitcoin.com,1,1614728686,1614728964,"Added from Query Log"
43,0,map.bitcoin.com,1,1614728696,1614728966,"Added from Query Log"
44,0,dmqdd6hw24ucf.cloudfront.net,1,1615095328,1615095328,"Added from Query Log"
45,0,7ba3f64df98de730df38846b54ecfbdf7f61f80f.cws.conviva.com,1,1619734752,1619734752,"Added from Query Log"
